Customer_ID,Gender,Age,City,Segment
C000001,Male,69,Ahmedabad,Gold
C000002,Female,50,Chennai,Silver
C000003,Female,41,Kolkata,Gold
C000004,Male,27,Kolkata,Silver
C000005,Male,69,Kolkata,Gold
C000006,Female,47,Delhi,Silver
C000007,Female,27,Hyderabad,Premium
C000008,Male,23,Delhi,Gold
C000009,Female,67,Chennai,Gold
C000010,Male,43,Hyderabad,Premium
C000011,Male,54,Hyderabad,Premium
C000012,Female,44,Kolkata,Premium
C000013,Female,64,Delhi,Gold
C000014,Male,70,Pune,Premium
C000015,Male,62,Kolkata,Gold
C000016,Male,52,Ahmedabad,Premium
C000017,Female,69,Kolkata,Silver
C000018,Female,23,Hyderabad,Premium
C000019,Female,42,Chennai,Premium
C000020,Female,31,Bengaluru,Premium
C000021,Female,51,Delhi,Premium
C000022,Male,19,Hyderabad,Premium
C000023,Female,33,Pune,Premium
C000024,Female,50,Bengaluru,Premium
C000025,Male,41,Pune,Premium
C000026,Female,25,Hyderabad,Premium
C000027,Male,46,Pune,Premium
C000028,Male,47,Delhi,Silver
C000029,Male,40,Pune,Gold
C000030,Male,63,Kolkata,Premium
C000031,Male,24,Delhi,Premium
C000032,Male,70,Delhi,Gold
C000033,Male,27,Kolkata,Gold
C000034,Male,23,Hyderabad,Gold
C000035,Male,48,Mumbai,Gold
C000036,Male,41,Kolkata,Premium
C000037,Female,34,Ahmedabad,Premium
C000038,Female,46,Ahmedabad,Premium
C000039,Female,70,Chennai,Silver
C000040,Male,49,Ahmedabad,Silver
C000041,Male,62,Mumbai,Gold
C000042,Female,20,Chennai,Premium
C000043,Female,25,Kolkata,Silver
C000044,Male,41,Pune,Silver
C000045,Male,25,Delhi,Gold
C000046,Female,37,Pune,Gold
C000047,Male,68,Chennai,Silver
C000048,Female,21,Pune,Gold
C000049,Male,29,Ahmedabad,Silver
C000050,Male,53,Delhi,Silver
C000051,Male,44,Ahmedabad,Premium
C000052,Female,54,Ahmedabad,Gold
C000053,Female,48,Chennai,Silver
C000054,Female,66,Ahmedabad,Premium
C000055,Female,27,Delhi,Silver
C000056,Female,42,Mumbai,Gold
C000057,Female,52,Hyderabad,Premium
C000058,Female,65,Pune,Premium
C000059,Male,28,Hyderabad,Premium
C000060,Female,53,Bengaluru,Premium
C000061,Male,30,Hyderabad,Premium
C000062,Male,66,Ahmedabad,Premium
C000063,Male,25,Chennai,Silver
C000064,Female,68,Mumbai,Silver
C000065,Female,23,Delhi,Gold
C000066,Male,49,Hyderabad,Gold
C000067,Female,29,Kolkata,Silver
C000068,Female,42,Pune,Silver
C000069,Male,24,Chennai,Gold
C000070,Male,29,Pune,Silver
C000071,Male,37,Kolkata,Premium
C000072,Male,21,Delhi,Silver
C000073,Male,63,Hyderabad,Gold
C000074,Female,24,Delhi,Silver
C000075,Female,38,Pune,Gold
C000076,Male,21,Mumbai,Silver
C000077,Male,49,Kolkata,Silver
C000078,Female,21,Delhi,Gold
C000079,Female,22,Ahmedabad,Silver
C000080,Female,58,Mumbai,Silver
C000081,Female,53,Bengaluru,Silver
C000082,Male,37,Kolkata,Gold
C000083,Male,58,Mumbai,Silver
C000084,Female,52,Chennai,Silver
C000085,Female,53,Ahmedabad,Silver
C000086,Male,70,Ahmedabad,Premium
C000087,Female,59,Chennai,Silver
C000088,Male,48,Pune,Premium
C000089,Female,61,Kolkata,Gold
C000090,Male,55,Pune,Silver
C000091,Male,65,Bengaluru,Gold
C000092,Male,43,Bengaluru,Silver
C000093,Female,45,Mumbai,Premium
C000094,Female,61,Delhi,Premium
C000095,Female,66,Ahmedabad,Gold
C000096,Male,60,Delhi,Gold
C000097,Male,47,Delhi,Silver
C000098,Male,59,Hyderabad,Premium
C000099,Female,18,Hyderabad,Premium
C000100,Male,44,Ahmedabad,Gold
C000101,Male,68,Bengaluru,Premium
C000102,Male,70,Ahmedabad,Premium
C000103,Male,40,Kolkata,Premium
C000104,Female,42,Chennai,Premium
C000105,Male,25,Ahmedabad,Gold
C000106,Male,46,Hyderabad,Silver
C000107,Male,66,Pune,Premium
C000108,Female,30,Bengaluru,Premium
C000109,Female,69,Mumbai,Silver
C000110,Female,41,Hyderabad,Gold
C000111,Female,63,Mumbai,Silver
C000112,Male,70,Kolkata,Silver
C000113,Female,54,Ahmedabad,Silver
C000114,Male,60,Chennai,Silver
C000115,Male,65,Bengaluru,Silver
C000116,Female,54,Mumbai,Premium
C000117,Female,30,Hyderabad,Premium
C000118,Female,61,Ahmedabad,Silver
C000119,Female,59,Hyderabad,Gold
C000120,Female,44,Pune,Silver
C000121,Female,49,Delhi,Premium
C000122,Male,64,Mumbai,Silver
C000123,Female,44,Ahmedabad,Gold
C000124,Male,43,Mumbai,Gold
C000125,Male,54,Hyderabad,Premium
C000126,Male,62,Kolkata,Silver
C000127,Male,30,Chennai,Gold
C000128,Female,22,Bengaluru,Silver
C000129,Female,45,Hyderabad,Premium
C000130,Female,34,Mumbai,Silver
C000131,Female,33,Delhi,Silver
C000132,Female,51,Mumbai,Silver
C000133,Female,66,Bengaluru,Premium
C000134,Female,55,Bengaluru,Silver
C000135,Male,20,Kolkata,Gold
C000136,Male,68,Chennai,Silver
C000137,Female,21,Pune,Premium
C000138,Female,22,Bengaluru,Premium
C000139,Male,53,Hyderabad,Gold
C000140,Female,43,Bengaluru,Premium
C000141,Female,32,Hyderabad,Gold
C000142,Female,47,Kolkata,Premium
C000143,Male,39,Hyderabad,Gold
C000144,Female,55,Mumbai,Silver
C000145,Male,18,Bengaluru,Premium
C000146,Male,54,Chennai,Premium
C000147,Female,40,Kolkata,Gold
C000148,Female,29,Mumbai,Silver
C000149,Male,21,Chennai,Gold
C000150,Female,50,Delhi,Gold
C000151,Male,27,Ahmedabad,Gold
C000152,Female,36,Delhi,Silver
C000153,Male,21,Mumbai,Premium
C000154,Male,45,Delhi,Silver
C000155,Male,58,Mumbai,Silver
C000156,Female,30,Ahmedabad,Premium
C000157,Female,56,Delhi,Premium
C000158,Female,57,Pune,Gold
C000159,Female,28,Bengaluru,Gold
C000160,Male,49,Mumbai,Silver
C000161,Male,62,Mumbai,Gold
C000162,Male,33,Ahmedabad,Premium
C000163,Female,69,Kolkata,Silver
C000164,Female,29,Hyderabad,Gold
C000165,Male,22,Delhi,Silver
C000166,Male,27,Pune,Gold
C000167,Male,58,Delhi,Silver
C000168,Male,30,Mumbai,Gold
C000169,Male,32,Pune,Premium
C000170,Male,39,Mumbai,Silver
C000171,Male,19,Chennai,Gold
C000172,Male,19,Chennai,Gold
C000173,Male,39,Mumbai,Gold
C000174,Female,33,Delhi,Gold
C000175,Male,51,Kolkata,Premium
C000176,Male,25,Chennai,Silver
C000177,Male,30,Kolkata,Premium
C000178,Female,38,Kolkata,Premium
C000179,Male,20,Mumbai,Premium
C000180,Female,68,Chennai,Gold
C000181,Male,21,Pune,Silver
C000182,Female,31,Bengaluru,Gold
C000183,Male,28,Kolkata,Premium
C000184,Female,49,Ahmedabad,Silver
C000185,Female,63,Delhi,Premium
C000186,Female,63,Ahmedabad,Gold
C000187,Female,55,Kolkata,Premium
C000188,Male,31,Mumbai,Silver
C000189,Female,33,Kolkata,Silver
C000190,Female,45,Kolkata,Premium
C000191,Male,41,Pune,Premium
C000192,Male,26,Bengaluru,Gold
C000193,Female,51,Delhi,Silver
C000194,Male,47,Delhi,Gold
C000195,Female,47,Kolkata,Gold
C000196,Female,69,Ahmedabad,Gold
C000197,Female,42,Hyderabad,Silver
C000198,Female,32,Pune,Premium
C000199,Male,40,Bengaluru,Gold
C000200,Male,68,Pune,Silver
C000201,Male,25,Bengaluru,Gold
C000202,Male,52,Mumbai,Gold
C000203,Male,61,Delhi,Gold
C000204,Female,65,Pune,Silver
C000205,Male,66,Pune,Silver
C000206,Female,36,Delhi,Gold
C000207,Female,70,Hyderabad,Gold
C000208,Male,43,Mumbai,Silver
C000209,Male,48,Mumbai,Premium
C000210,Female,64,Ahmedabad,Gold
C000211,Male,38,Mumbai,Gold
C000212,Female,31,Ahmedabad,Gold
C000213,Male,41,Chennai,Premium
C000214,Male,37,Hyderabad,Gold
C000215,Female,39,Mumbai,Gold
C000216,Female,61,Kolkata,Premium
C000217,Female,38,Hyderabad,Premium
C000218,Male,26,Chennai,Gold
C000219,Female,42,Mumbai,Gold
C000220,Male,52,Kolkata,Silver
C000221,Female,24,Delhi,Premium
C000222,Female,58,Pune,Silver
C000223,Male,24,Chennai,Silver
C000224,Female,19,Chennai,Silver
C000225,Male,42,Pune,Silver
C000226,Male,36,Bengaluru,Gold
C000227,Male,41,Hyderabad,Silver
C000228,Female,44,Kolkata,Silver
C000229,Male,26,Kolkata,Gold
C000230,Male,42,Mumbai,Silver
C000231,Male,37,Kolkata,Premium
C000232,Female,28,Pune,Premium
C000233,Male,50,Ahmedabad,Gold
C000234,Male,18,Chennai,Gold
C000235,Male,70,Kolkata,Premium
C000236,Male,51,Delhi,Premium
C000237,Female,47,Ahmedabad,Premium
C000238,Male,65,Bengaluru,Gold
C000239,Female,40,Pune,Gold
C000240,Male,44,Mumbai,Silver
C000241,Female,47,Kolkata,Premium
C000242,Male,62,Bengaluru,Gold
C000243,Male,33,Chennai,Gold
C000244,Female,60,Bengaluru,Premium
C000245,Male,49,Kolkata,Premium
C000246,Male,41,Bengaluru,Silver
C000247,Female,44,Ahmedabad,Silver
C000248,Female,31,Hyderabad,Gold
C000249,Male,22,Ahmedabad,Gold
C000250,Female,65,Kolkata,Silver
C000251,Female,20,Hyderabad,Gold
C000252,Male,63,Chennai,Gold
C000253,Female,49,Ahmedabad,Silver
C000254,Male,53,Mumbai,Premium
C000255,Female,26,Ahmedabad,Gold
C000256,Male,28,Hyderabad,Premium
C000257,Male,29,Pune,Silver
C000258,Female,28,Bengaluru,Premium
C000259,Male,61,Pune,Silver
C000260,Female,40,Chennai,Silver
C000261,Male,61,Mumbai,Gold
C000262,Male,58,Bengaluru,Gold
C000263,Female,46,Hyderabad,Premium
C000264,Male,21,Kolkata,Silver
C000265,Male,41,Mumbai,Silver
C000266,Male,19,Kolkata,Silver
C000267,Male,39,Mumbai,Premium
C000268,Male,32,Bengaluru,Premium
C000269,Male,64,Chennai,Silver
C000270,Female,50,Bengaluru,Gold
C000271,Female,53,Mumbai,Premium
C000272,Male,52,Kolkata,Gold
C000273,Male,32,Mumbai,Silver
C000274,Female,38,Chennai,Silver
C000275,Female,59,Delhi,Silver
C000276,Female,31,Ahmedabad,Silver
C000277,Male,60,Pune,Premium
C000278,Female,20,Bengaluru,Silver
C000279,Female,37,Ahmedabad,Silver
C000280,Male,34,Bengaluru,Premium
C000281,Female,58,Kolkata,Premium
C000282,Male,39,Chennai,Premium
C000283,Female,60,Ahmedabad,Silver
C000284,Female,19,Ahmedabad,Gold
C000285,Male,50,Hyderabad,Silver
C000286,Male,57,Bengaluru,Gold
C000287,Male,65,Kolkata,Silver
C000288,Male,21,Chennai,Gold
C000289,Female,36,Mumbai,Silver
C000290,Female,31,Hyderabad,Silver
C000291,Female,65,Delhi,Silver
C000292,Female,38,Hyderabad,Premium
C000293,Female,59,Pune,Silver
C000294,Male,64,Delhi,Gold
C000295,Male,31,Hyderabad,Premium
C000296,Male,69,Mumbai,Premium
C000297,Female,51,Delhi,Silver
C000298,Female,58,Hyderabad,Silver
C000299,Female,22,Mumbai,Silver
C000300,Male,31,Chennai,Silver
C000301,Male,55,Mumbai,Silver
C000302,Male,45,Ahmedabad,Gold
C000303,Male,64,Mumbai,Silver
C000304,Female,29,Mumbai,Gold
C000305,Female,54,Ahmedabad,Premium
C000306,Male,35,Ahmedabad,Silver
C000307,Female,43,Kolkata,Silver
C000308,Female,46,Kolkata,Premium
C000309,Female,66,Chennai,Gold
